User,Channel,ReplyCount
U03UVHCV6KB,all-community-building,284
U03V1AM5TFA,all-community-building,515
U03U1FNPEUX,all-community-building,145
U03UH397319,all-community-building,99
U03U1HAG9TR,all-community-building,135
U03UAKATQ22,all-community-building,34
U03U9EJR362,all-community-building,39
U03UG0YHAUT,all-community-building,112
U03U1J51VFZ,all-community-building,19
U03UG4Q7V42,all-community-building,199
U03UJN29Y4C,all-community-building,55
U03UD68RQH3,all-community-building,224
U03UD5B7C3X,all-community-building,66
U03UJGP0C68,all-community-building,168
U03UJKJGRAQ,all-community-building,132
U03UG32J3PC,all-community-building,358
U03UHB8CXDY,all-community-building,77
U03UFV7HFNF,all-community-building,53
U03V6HMRPGQ,all-community-building,164
U03UG1Z21JP,all-community-building,80
U03T89ACUUW,all-community-building,39
U03UUS0MZCZ,all-community-building,106
U03TEPYRM2P,all-community-building,14
U03UUR571A5,all-community-building,266
U03V5Q9N516,all-community-building,44
U03U93GNNVB,all-community-building,46
U03V785NLSU,all-community-building,118
U03UFV7TUTV,all-community-building,39
U03UCCRJME2,all-community-building,1
U03UUMM7Y8H,all-community-building,26
U03UD4FEDHB,all-community-building,24
U03TT5KEYCF,all-community-building,13
U03U4GULU3Y,all-community-building,2
U03U1FQKEMV,all-community-building,3
U03UJGRN5E0,all-community-building,28
U03UGB3T3MY,all-community-building,1
U03U9FWPNCE,all-community-building,32
U03UJGFG2HJ,all-community-building,7
U03UG5VFN03,all-community-building,13
U03UG1RTXAP,all-community-building,14
U03UG0SFHGT,all-community-building,42
U03U1GHT39V,all-community-building,6
U03UJH1EQQL,all-community-building,24
U03UP7V9Q57,all-community-building,2
U03UUMR26Q1,all-community-building,15
U03UKGSDGSG,all-community-building,6
U03V61VGQG0,all-community-building,4
U03UUP56MDF,all-community-building,1
U03U93GNNVB,all-technical-support,14
U03UG4Q7V42,all-technical-support,1
U03UJN29Y4C,all-technical-support,2
U03TEPYRM2P,all-technical-support,17
U03UD68RQH3,all-technical-support,1
U03UH397319,all-technical-support,6
U03V1AM5TFA,all-technical-support,1
U03UJGP0C68,all-technical-support,2
U03UFV7HFNF,all-technical-support,3
U03UDBUL7CL,all-technical-support,5
U03UUR571A5,all-technical-support,2
U03UG32J3PC,all-technical-support,4
U03UHB8CXDY,all-technical-support,3
U03UFV7TUTV,all-technical-support,1
U03UG0YHAUT,all-technical-support,3
U03UVHCV6KB,all-technical-support,15
U03T89ACUUW,all-technical-support,3
U03V5Q9N516,all-technical-support,4
U03UUMM7Y8H,all-technical-support,1
U03UJH1EQQL,all-technical-support,1
U03U1FNPEUX,all-technical-support,4
U03UG1Z21JP,all-technical-support,1
U03UD5B7C3X,all-technical-support,4
U03UYNR4TS4,all-technical-support,1
U03UJGRN5E0,all-technical-support,1
U03UHB8CXDY,all-career-exercises,13
U03TT5KEYCF,all-career-exercises,42
U03UD68RQH3,all-career-exercises,10
U03U1HAG9TR,all-career-exercises,6
U03UG4Q7V42,all-career-exercises,15
U03UJGP0C68,all-career-exercises,20
U03UL5LSTG9,all-career-exercises,26
U03UFV7HFNF,all-career-exercises,6
U03V61VGQG0,all-career-exercises,17
U03UUR571A5,all-career-exercises,10
U03UFV7TUTV,all-career-exercises,2
U03UUS0MZCZ,all-career-exercises,1
U03UJKJGRAQ,all-career-exercises,15
U03UVHCV6KB,all-career-exercises,44
U03V1AM5TFA,all-career-exercises,3
U03UJN29Y4C,all-career-exercises,4
U03UJGRN5E0,all-career-exercises,1
U03V785NLSU,all-career-exercises,9
U03U93GNNVB,all-career-exercises,96
U03UG0SFHGT,all-career-exercises,2
U03V6HMRPGQ,all-career-exercises,18
U03UG5VFN03,all-career-exercises,2
U03UUP56MDF,all-career-exercises,2
U03U1FNPEUX,all-career-exercises,11
U03U4GULU3Y,all-career-exercises,28
U03UG1Z21JP,all-career-exercises,15
U03UUMR26Q1,all-career-exercises,8
U03UG0YHAUT,all-career-exercises,12
U03UD5B7C3X,all-career-exercises,6
U03UAKATQ22,all-career-exercises,3
U03U9EJR362,all-career-exercises,2
U03UH397319,all-career-exercises,10
U03UJH1EQQL,all-career-exercises,9
U03UG32J3PC,all-career-exercises,3
U03TEPYRM2P,all-career-exercises,2
U03U9FWPNCE,all-career-exercises,1
U03U1GHT39V,all-career-exercises,1
U03V785NLSU,all-resources,4
U03UD5B7C3X,all-resources,1
U03UFV7TUTV,all-resources,1
U03UVHCV6KB,all-resources,15
U03UD68RQH3,all-resources,14
U03UH397319,all-resources,4
U03UG0SFHGT,all-resources,1
U03UFV7HFNF,all-resources,2
U03UJN29Y4C,all-resources,3
U03U1HAG9TR,all-resources,2
