reaction_name,reaction_count,reaction_users_count,message,user_id,channel
white_check_mark,17,"U03UG5VFN03,U03UJGP0C68,U03V785NLSU,U03UG0YHAUT,U03UG4Q7V42,U03U9EJR362,U03U1FNPEUX,U03UJH1EQQL,U03V6HMRPGQ,U03UD68RQH3,U03U1HAG9TR,U03UJN29Y4C,U03UH397319,U03UFV7HFNF,U03UL5LSTG9,U03UHB8CXDY,U03UG0SFHGT","Good morning winners, welcome to week 9 of week 12 of this intensive training. We commend your resilience and perseverance as you sail through the thick and thin of this training. You’ve been pushing since the day you applied for this training and you never cease to push to get your tasks done. We are proud of you! You’ve started seeing some rays of light inside the tunnel - in the coming weeks, you’ll eventually see the light at the end of the tunnel. Do have a great week ahead :blush:",U03TEPYRM2P,all-week9
joy,16,"U03UUR571A5,U03V785NLSU,U03UD68RQH3,U03UD4FEDHB,U03V6HMRPGQ,U03UG32J3PC,U03UG4Q7V42,U03U1FNPEUX,U03UJGRN5E0,U03UJKJGRAQ,U03UG5VFN03,U03U1HAG9TR,U03UD5B7C3X,U03UG1Z21JP,U03UG0YHAUT,U03UJGP0C68",My reactions when am not finished the task before and Evariste shared another week challenge folder,U03UG0SFHGT,all-community-building
raised_hands,16,"U03UD68RQH3,U03U9EJR362,U03UFV7TUTV,U03U1FNPEUX,U03U1J51VFZ,U03UD4FEDHB,U03UG4Q7V42,U03UG0SFHGT,U03UVHCV6KB,U03UFV7HFNF,U03U1HAG9TR,U03UHB8CXDY,U03UG0YHAUT,U03UJN29Y4C,U03UUR571A5,U03UG32J3PC",,U03U1GHT39V,all-community-building
raised_hands,16,"U03U1GHT39V,U03UJN29Y4C,U03UG1RTXAP,U03UG4Q7V42,U03U1FNPEUX,U03UJGRN5E0,U03UJGP0C68,U03UFV7HFNF,U03UUS0MZCZ,U03UD4FEDHB,U03UD68RQH3,U03UG569P7U,U03UG5VFN03,U03U1J51VFZ,U03UG0SFHGT,U03UL5LSTG9",Little known fact - all 10 Academy technical tutors are 10 Academy alumni.,U03U93GNNVB,all-broadcast
rolling_on_the_floor_laughing,15,"U03UG32J3PC,U03U9EJR362,U03U1HAG9TR,U03UJGP0C68,U03UG0SFHGT,U03UH397319,U03UD4FEDHB,U03UHB8CXDY,U03UD68RQH3,U03UG1Z21JP,U03UG4Q7V42,U03UJKJGRAQ,U03UUR571A5,U03UFV7HFNF,U03V6HMRPGQ",*Guys <!here>.... Make sure to come back from holidays! You cant go and disappear and throw your passport in the dreamland with your plus one. You will be deported back to 10 Academy* :joy: :rolling_on_the_floor_laughing::grinning:,U03V1AM5TFA,all-community-building
raised_hands,15,"U03UG32J3PC,U03V61VGQG0,U03UG0YHAUT,U03UJGRN5E0,U03UJGP0C68,U03UFV7HFNF,U03U9EJR362,U03U1FNPEUX,U03UD4FEDHB,U03UJN29Y4C,U03UG5VFN03,U03UAKATQ22,U03UHB8CXDY,U03UVHCV6KB,U03U1J51VFZ","Welcome to week6 everyone. By Friday, we’ll be half way! Let’s approach the week with full energy :battery::battery:",U03TEPYRM2P,all-week6
joy,15,"U03V6HMRPGQ,U03U9EJR362,U03UFV7HFNF,U03UVHCV6KB,U03UJGRN5E0,U03UJGP0C68,U03U1J51VFZ,U03U1FNPEUX,U03UG32J3PC,U03UAKATQ22,U03UG0SFHGT,U03V5Q9N516,U03U1HAG9TR,U03UJKJGRAQ,U03UG5VFN03","*Here are some other stories from people that made me lough a lot*

1.When I was small my mum told me that if I swallowed chewing gum, it will tie my intestines together like a thread.

2.I asked how a baby was born to my cousin, she told me when a man and women just sleep together and i asked my cousin how come we don't have a baby then since we slept together. she said NOO, we gotta be adults and not related haha

3.My brother used to tell me if I swallowed orange seeds, it would grow inside my stomach and the leaves would come out of my mouth and ears. This one time I accidentally did and spent the whole night crying.

4.When I was a kid one of my friends told me that I shouldn't eat standing because the food goes down to my leg instead of digesting, until grade 4 I believed it to be true, I always ate sitting

Which one is more funny?",U03V1AM5TFA,all-community-building
rolling_on_the_floor_laughing,14,"U03UJGP0C68,U03UG4Q7V42,U03UFV7HFNF,U03UG1Z21JP,U03UG32J3PC,U03U1HAG9TR,U03U1FNPEUX,U03UHB8CXDY,U03UUS0MZCZ,U03UVHCV6KB,U03UG0SFHGT,U03UUR571A5,U03V785NLSU,U03UG0YHAUT","1- let me open my VPN, where do you want me to go?
2-idk, they asked me to clean the code and I deleted it",U03V6HMRPGQ,all-community-building
raised_hands,14,"U03UJGP0C68,U03UG32J3PC,U03UG0SFHGT,U03UG1Z21JP,U03UJGRN5E0,U03UUR571A5,U03UH397319,U03UJN29Y4C,U03UD4FEDHB,U03UG0YHAUT,U03U1FNPEUX,U03UJKJGRAQ,U03V6HMRPGQ,U03UVHCV6KB","<!channel>
There will be no careers exercise for Week 10, 11 &amp; 12
Our focus will be working with your assigned tutor to perfect CV &amp; 10 Academy profile, mock interviews (for the remaining trainees who haven't participated) and preparation for job search.",U03TT5KEYCF,all-career-exercises
joy,13,"U03UJKJGRAQ,U03UD68RQH3,U03U1HAG9TR,U03UG4Q7V42,U03V5Q9N516,U03V6HMRPGQ,U03UAKATQ22,U03V785NLSU,U03UG32J3PC,U03UH397319,U03UFV7HFNF,U03UG0SFHGT,U03UJN29Y4C","3 things I dont want him to know:

1. That I am not serious with him
2. I have a CBS cool man here that ………
3. Nothing ",U03UG1Z21JP,all-community-building
